title,title_spotify,artist,album,colab,id,release_date,peak_rank,peak_date,peak_year,lustrum,weeks,sp_popularity,tempo,duration,key,mode,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,before_1964,release_year
For My Baby,For My Baby,Brook Benton,Greatest Hits: The Mercury Years,N,7p64JJtRFSwlOp07twxVZs,1989-01-01,28.0,1961-02-01,1961,1960-1964,8.0,7.0,105.899,161.36,7.0,1.0,0.66,0.305,-15.929,0.0637,0.551,0.0,0.0589,0.616,True,1989
For My Good Fortune,For My Good Fortune - Mono / Single Version,Pat Boone,Pat Boone Sings (Expanded Edition),N,4cWEX0v1tmKtaesTGK88ph,1958-12-01,23.0,1958-09-17,1958,1955-1959,11.0,0.0,129.155,130.067,8.0,1.0,0.642,0.834,-7.566,0.0642,0.648,0.00966,0.391,0.929,True,1958
For Your Love,For Your Love,Ed Townsend,Lost Hits Of The 50's,N,34hXWNZyKgsR7zmMOfXqOK,2012-01-01,62.0,1961-05-10,1961,1960-1964,2.0,23.0,94.411,173.267,0.0,1.0,0.243,0.334,-10.097,0.0298,0.838,3.16e-06,0.187,0.369,True,2012
For Your Precious Love,FOR YOUR PRECIOUS LOVE,Jerry Butler and The Impressions,Singing On The Street Corner,N,4qEJlmy7RpAT6d1wCTMPaM,2017-10-25,15.0,1958-01-01,1958,1955-1959,5.0,4.0,79.157,165.773,1.0,1.0,0.486,0.168,-13.428,0.0307,0.771,0.0,0.109,0.194,True,2017
Forever,Forever,The Little Dippers,Forever,N,6KknhggJ4EgpzlEDy19yWv,1960-08-15,9.0,1960-02-10,1960,1960-1964,14.0,60.0,73.771,138.92,0.0,1.0,0.518,0.225,-11.695,0.0317,0.948,0.584,0.197,0.478,True,1960
Forget Me Not,Forget Me Not,Kalin Twins,The Kalin Twins,N,49f1yPA6sXG9p893m0rgvp,1958-05-26,12.0,1958-09-24,1958,1955-1959,15.0,5.0,81.264,144.173,1.0,1.0,0.582,0.595,-5.424,0.0537,0.713,0.0,0.0428,0.893,True,1958
Forty Days,Forty Days (To Come Back Home),Ronnie Hawkins,Rockin',N,15LBpMWtDYyqd5X3u0EyIa,2019-10-04,45.0,1959-06-03,1959,1955-1959,8.0,10.0,95.483,136.813,4.0,0.0,0.607,0.888,-11.475,0.0424,0.37,0.0,0.189,0.814,True,2019
Forty Miles Of Bad Road,Forty Miles Of Bad Road,Duane Eddy And The Rebels,"$1,000,000 Worth Of Twang",N,7vvIRamaiahhhXnFzA6wbB,2006-01-01,9.0,1959-06-10,1959,1955-1959,15.0,24.0,126.327,130.6,2.0,1.0,0.719,0.685,-11.918,0.0874,0.0434,0.884,0.102,0.96,True,2006
Frankie,Frankie,Connie Francis,Gold,N,3cmGF5NDmyRcc8XM3xbFWb,2005-06-14,9.0,1959-05-13,1959,1955-1959,15.0,41.0,99.605,151.2,3.0,1.0,0.572,0.483,-8.123,0.0253,0.796,5.97e-06,0.175,0.609,True,2005
Frankie And Johnny,Frankie and Johnny,Brook Benton,The Devoted Brook Benton,N,0Gtf6xiTvkH3moZQ9hznZN,2023-04-07,75.0,1961-07-19,1961,1960-1964,1.0,28.0,136.61,152.189,8.0,1.0,0.592,0.501,-18.629,0.0603,0.807,0.0,0.74,0.719,True,2023
